#            configname    selected           comp(a)    formation_energy    clex(formation_energy)    hull_dist(ALL,comp)    clex_hull_dist(ALL,comp)        comp_n(Na)
    SCEL1_1_1_1_0_0_0/65          1        0.50000000         0.05171296                 0.02959263             0.52253693                  0.40940208        5.00000000
    SCEL1_1_1_1_0_0_0/66          1        0.66666667         0.06282351                 0.05384387             0.37670756                  0.30603725        4.00000000
    SCEL1_1_1_1_0_0_0/67          1        0.66666667         0.12174643                 0.12954617             0.43563048                  0.38173955        4.00000000
    SCEL1_1_1_1_0_0_0/68          1        0.66666667         0.01538221                 0.03157827             0.32926626                  0.28377166        4.00000000
    SCEL1_1_1_1_0_0_0/69          1        0.66666667         0.16555381                 0.17216614             0.47943786                  0.42435953        4.00000000
    SCEL1_1_1_1_0_0_0/70          1        0.66666667         -0.03548984                -0.03729604            0.27839421                  0.21489734        4.00000000
    SCEL1_1_1_1_0_0_0/71          1        0.66666667         -0.01699452                -0.00700798            0.29688953                  0.24518541        4.00000000
    SCEL1_1_1_1_0_0_0/72          1        0.66666667         -0.09155572                -0.09521926            0.22232833                  0.15697412        4.00000000
    SCEL1_1_1_1_0_0_0/73          1        0.66666667         0.24356545                 0.23364427             0.55744950                  0.48583765        4.00000000
    SCEL1_1_1_1_0_0_0/74          1        0.66666667         -0.07329905                -0.07915537            0.24058500                  0.17303802        4.00000000
    SCEL1_1_1_1_0_0_0/75          1        0.66666667         -0.03736317                -0.03238087            0.27652088                  0.21981251        4.00000000
    SCEL1_1_1_1_0_0_0/76          1        0.66666667         0.10524203                 0.13930470             0.41912608                  0.39149809        4.00000000
    SCEL1_1_1_1_0_0_0/77          1        0.66666667         -0.10873829                -0.06879722            0.20514576                  0.18339616        4.00000000
    SCEL1_1_1_1_0_0_0/78          1        0.66666667         -0.10645378                -0.11519099            0.20743027                  0.13700240        4.00000000
    SCEL1_1_1_1_0_0_0/79          1        0.66666667         0.02060789                 0.01950642             0.33449194                  0.27169980        4.00000000
    SCEL1_1_1_1_0_0_0/80          1        0.66666667         -0.12429214                -0.07388260            0.18959191                  0.17831078        4.00000000
    SCEL1_1_1_1_0_0_0/82          1        0.66666667         0.23757311                 0.22189593             0.55145716                  0.47408932        4.00000000
    SCEL1_1_1_1_0_0_0/85          1        0.66666667         -0.06501030                -0.05899327            0.24887375                  0.19320012        4.00000000
    SCEL1_1_1_1_0_0_0/86          1        0.66666667         -0.00660659                -0.01140801            0.30727746                  0.24078537        4.00000000
    SCEL1_1_1_1_0_0_0/87          1        0.66666667         -0.15565207                -0.18743637            0.15823198                  0.06475701        4.00000000
    SCEL1_1_1_1_0_0_0/88          1        0.66666667         -0.20427687                -0.19857368            0.10960718                  0.05361970        4.00000000
    SCEL1_1_1_1_0_0_0/93          1        0.66666667         0.23173431                 0.19669391             0.54561836                  0.44888729        4.00000000
    SCEL1_1_1_1_0_0_0/97          1        0.66666667         0.05967341                 0.06101815             0.37355746                  0.31321153        4.00000000
    SCEL1_1_1_1_0_0_0/98          1        0.66666667         -0.13979428                -0.10772001            0.17408977                  0.14447338        4.00000000
    SCEL1_1_1_1_0_0_0/99          1        0.16666667         -0.04065071                -0.06514334            0.21846119                  0.18856942        7.00000000
    SCEL2_2_1_1_0_0_0/0           1        0.75000000         0.13139527                 0.10690605             0.36680937                  0.29529140        3.50000000
    SCEL2_2_1_1_0_0_0/1           1        0.75000000         0.12322584                 0.12694423             0.35863993                  0.31532958        3.50000000
    SCEL2_2_1_1_0_0_0/10          1        0.75000000         0.04014590                 0.05032817             0.27556000                  0.23871352        3.50000000
    SCEL2_2_1_1_0_0_0/100         1        0.58333333         -0.03560947                -0.04194099            0.35674455                  0.27406042        4.50000000
    SCEL2_2_1_1_0_0_0/101         1        0.58333333         0.00090784                 -0.01111284            0.39326186                  0.30488858        4.50000000
    SCEL2_2_1_1_0_0_0/102         1        0.58333333         0.15014611                 0.14220831             0.54250012                  0.45820973        4.50000000
    SCEL2_2_1_1_0_0_0/103         1        0.58333333         -0.03364172                -0.05256093            0.35871229                  0.26344049        4.50000000
    SCEL2_2_1_1_0_0_0/104         1        0.58333333         0.22106855                 0.22809595             0.61342256                  0.54409737        4.50000000
